team,team member,strain,method of making competent cells,DNA quantity (ng),dilution,DNA added in volume (µl),transformants per plate,transformants/µg DNA,"comments, errors, mistakes",Recommendation for your colleagues (include/exclude)
example,0,DH5a,P25,10,0.9,5,lawn,,Used 200µl of cells instead of 50µl,exclude
example,0,TOP10F',FB,10,0.1,5,432,4.32E+05,left on ice for 30min before adding DNA,include
1,1,DH5a,FB,100,0.9,1.5,352,3.91E+03,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,100,0.1,1.5,82,8.20E+03,,
1,1,DH5a,FB,100,0.9,1.5,560,6.22E+03,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,100,0.1,1.5,118,1.18E+04,1/4 of plate counted (scaled up to whole plate),
1,1,DH5a,FB,10,0.9,1.5,43,4.78E+03,,
1,1,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,1,DH5a,FB,10,0.9,1.5,8,8.88E+02,,
1,1,DH5a,FB,10,0.1,1.5,1,1.00E+03,Spreader was not cooled after flaming in Bunsen, exclude
1,1,DH5a,FB,0,0.9,1.5,0,0.00E+00,,
1,1,DH5a,FB,0,0.1,1.5,0,0.00E+00,,
1,2,DH5a,FB,100,0.9,1.5,332,3.69E+03,,
1,2,DH5a,FB,100,0.1,1.5,14,1.40E+03,,
1,2,DH5a,FB,100,0.9,1.5,484,5.38E+03,3.21E+04,
1,2,DH5a,FB,100,0.1,1.5,20,2.00E+03,,
1,2,DH5a,FB,10,0.9,1.5,21,2.33E+03,,
1,2,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,2,DH5a,FB,10,0.9,1.5,29,3.22E+03,,
1,2,DH5a,FB,10,0.1,1.5,9,9.00E+03,,
1,2,DH5a,FB,0,0.9,1.5,0,0.00E+00,,
1,2,DH5a,FB,0,0.1,1.5,0,0.00E+00,,
1,3,DH5a,FB,100,0.9,1.5,297,3.30E+03,,
1,3,DH5a,FB,100,0.1,1.5,12,1.20E+03,,
1,3,DH5a,FB,100,0.9,1.5,321,3.57E+03,,
1,3,DH5a,FB,100,0.1,1.5,16,1.60E+03,,
1,3,DH5a,FB,10,0.9,1.5,32,3.55E+03,,
1,3,DH5a,FB,10,0.1,1.5,1,1.00E+03,,
1,3,DH5a,FB,10,0.9,1.5,27,3.00E+03,,
1,3,DH5a,FB,10,0.1,1.5,2,2.00E+03,,
1,3,DH5a,FB,0,0.9,1.5,0,0.00E+00,,
1,3,DH5a,FB,0,0.1,1.5,0,0.00E+00,,
2,1,DH5a,FB,100,0.9,2,360,4.00E+03,"1/4 of plate counted, average count for total plate, uneven bacteria colony spread across each quarter.",
2,1,DH5a,FB,100,0.1,2,14,1.40E+03,Whole count,
2,1,DH5a,FB,100,0.9,2,1400,1.56E+04,"Average whole plate count from 1/4 of plate counted, sheer amount of colonies resulted in writing down of an average number of transformants",
2,1,DH5a,FB,100,0.1,2,232,2.32E+04,Average whole plate count from 1/4 of plate counted,
2,1,DH5a,FB,10,0.9,2,108,1.20E+04,"Average whole plate count from 1/4 of plate counted, uneven sprad",
2,1,DH5a,FB,10,0.1,2,14,1.40E+04,Whole count,
2,1,DH5a,FB,10,0.9,2,320,3.56E+04,Average whole plate count from 1/4 of plate counted,
2,1,DH5a,FB,10,0.1,2,51,5.10E+04,Whole count,
2,1,DH5a,FB,0,0.9,2 (buffer only),0,0.00E+00,,
2,1,DH5a,FB,0,0.1,2 (buffer only),0,0.00E+00,,
2,2,DH5a,FB,100,0.9,2,968,1.08E+04,1/4 plate counted,
2,2,DH5a,FB,100,0.1,2,72,7.20E+04,whole plate counted,
2,2,DH5a,FB,100,0.9,2,1080,1.20E+04,1/4 plate counted,
2,2,DH5a,FB,100,0.1,2,116,1.16E+05,1/4 plate counted,
2,2,DH5a,FB,10,0.9,2,804,8.94E+04,1/4 plate counted,
2,2,DH5a,FB,10,0.1,2,31,3.10E+04,whole plate counted,
2,2,DH5a,FB,10,0.9,2,972,1.08E+05,1/4 plate counted,
2,2,DH5a,FB,10,0.1,2,54,5.40E+04,whole plate counted,
2,2,DH5a,FB,0,0.9,2 (buffer only),0,0.00E+00,N/A,
2,2,DH5a,FB,0,0.1,2 (buffer only),0,0.00E+00,N/A,
2,3,DH5a,FB,100,0.9,2,193,2.14E+03,Whole plate counted,
2,3,DH5a,FB,100,0.1,2,80,8.00E+03,Whole plate counted ,
2,3,DH5a,FB,100,0.9,2,844,9.38E+03,1/4 plate counted ,
2,3,DH5a,FB,100,0.1,2,118,1.18E+04,Whole plate counted ,
2,3,DH5a,FB,10,0.9,2,57,6.33E+03,Whole plate counted ,
2,3,DH5a,FB,10,0.1,2,15,1.50E+04,Whole plate counted ,
2,3,DH5a,FB,10,0.9,2,93,1.03E+04,Whole plate counted ,
2,3,DH5a,FB,10,0.1,2,32,3.20E+04,Whole plate counted ,
2,3,DH5a,FB,0,0.9,2 (buffer only) ,0,0.00E+00,N/A,
2,3,DH5a,FB,0,0.1,2 (buffer only),0,0.00E+00,N/A,
3,1,,FB,100,0.9,20,3,3.00E-01,put ethanol into plate AFTER flaming which would kill off cells,
3,1,,FB,100,0.1,20,0,0.00E+00,,
3,1,,FB,100,0.9,20,0,0.00E+00,,
3,1,,FB,100,0.1,20,1,1.00E+03,,
3,1,,FB,10,0.9,2,0,0.00E+00,,
3,1,,FB,10,0.1,2,3,3.33E+01,,
3,1,,FB,10,0.9,2,0,0.00E+00,,
3,1,,FB,10,0.1,2,5,2.00E+01,,
3,1,,FB,0,0.9,0,0,0.00E+00,,
3,1,,FB,0,0.1,0,0,0.00E+00,,
3,2,,FB,100,0.9,20,0,0.00E+00,"Spreader not cooled for approx. half of plates, possibly accounting for lack of colonies",
3,2,,FB,100,0.1,20,0,0.00E+00,,
3,2,,FB,100,0.9,20,10,1.00E+02,,
3,2,,FB,100,0.1,20,0,0.00E+00,,
3,2,,FB,10,0.9,2,17,1.70E+03,,
3,2,,FB,10,0.1,2,0,0.00E+00,,
3,2,,FB,10,0.9,2,0,0.00E+00,,
3,2,,FB,10,0.1,2,2,2.00E+02,,
3,2,,FB,0,0.9,0,0,0.00E+00,,
3,2,,FB,0,0.1,0,0,0.00E+00,,
4,1,DH5 alpha,FB,100,0.9,10,537,5.97E+03,many overlapping colonies; difficult to count,
4,1,DH5 alpha,FB,100,0.1,10,64,6.40E+03,,
4,1,DH5 alpha,FB,100,0.9,10,410,4.56E+03,,
4,1,DH5 alpha,FB,100,0.1,10,131,1.31E+04,,
4,1,DH5 alpha,FB,10,0.9,10,335,3.72E+04,,
4,1,DH5 alpha,FB,10,0.1,10,40,4.00E+04,,
4,1,DH5 alpha,FB,10,0.9,10,296,3.29E+04,90μL SOC was additionally added after 5 mins incubation,
4,1,DH5 alpha,FB,10,0.1,10,87,8.70E+04,90μL SOC was additionally added after 5 mins incubation,
4,1,DH5 alpha,FB,0,0.9,10,0,0.00E+00,,
4,1,DH5 alpha,FB,0,0.1,10,0,0.00E+00,,
4,2,DH5 alpha,FB,100,0.9,10,258,2.87E+03,,
4,2,DH5 alpha,FB,100,0.1,10,57,5.70E+03,,
4,2,DH5 alpha,FB,100,0.9,10,425,4.72E+03,,
4,2,DH5 alpha,FB,100,0.1,10,88,8.80E+03,,
4,2,DH5 alpha,FB,10,0.9,10,103,1.14E+04,,
4,2,DH5 alpha,FB,10,0.1,10,30,3.00E+04,,
4,2,DH5 alpha,FB,10,0.9,10,156,1.73E+04,,
4,2,DH5 alpha,FB,10,0.1,10,42,4.20E+04,,
4,2,DH5 alpha,FB,0,0.9,10,0,0.00E+00,,
4,2,DH5 alpha,FB,0,0.1,10,147,,,
4,3,DH5 alpha,FB,100,0.9,10,428,4.76E+03,,
4,3,DH5 alpha,FB,100,0.1,10,48,4.80E+03,,
4,3,DH5 alpha,FB,100,0.9,10,420,4.67E+03,,
4,3,DH5 alpha,FB,100,0.1,10,673,6.73E+04,,
4,3,DH5 alpha,FB,10,0.9,10,184,2.04E+04,,
4,3,DH5 alpha,FB,10,0.1,10,10,1.00E+04,,
4,3,DH5 alpha,FB,10,0.9,10,140,1.56E+04,,
4,3,DH5 alpha,FB,10,0.1,10,23,2.30E+04,,
4,3,DH5 alpha,FB,0,0.9,10,0,0.00E+00,,
4,3,DH5 alpha,FB,0,0.1,10,0,0.00E+00,,
5,1,Mach1,FB,100,0.9,10,254,2.54E+03,Forgot to add DMSO before freezing,
5,1,Mach1,FB,100,0.1,10,38,3.80E+02,,
5,1,Mach1,FB,100,0.9,10,67,6.70E+02,,
5,1,Mach1,FB,100,0.1,10,29,2.90E+02,,
5,1,Mach1,FB,10,0.9,1,1,1.00E+02,,
5,1,Mach1,FB,10,0.1,1,0,0.00E+00,,
5,1,Mach1,FB,10,0.9,1,31,3.10E+03,,
5,1,Mach1,FB,10,0.1,1,14,1.40E+03,,
5,1,Mach1,FB,0,0.9,0,0,0.00E+00,,
5,1,Mach1,FB,0,0.1,0,0,0.00E+00,,
5,2,Mach1,FB,100,0.9,10,323,3.23E+03,,
5,2,Mach1,FB,100,0.1,10,55,5.50E+02,,
5,2,Mach1,FB,100,0.9,10,169,1.69E+03,,
5,2,Mach1,FB,100,0.1,10,12,1.20E+02,,
5,2,Mach1,FB,10,0.9,1,102,1.02E+04,,
5,2,Mach1,FB,10,0.1,1,34,3.40E+03,,
5,2,Mach1,FB,10,0.9,1,56,5.60E+03,,
5,2,Mach1,FB,10,0.1,1,21,2.10E+03,,
5,2,Mach1,FB,0,0.9,0,0,0.00E+00,,
5,2,Mach1,FB,0,0.1,0,0,0.00E+00,,
5,3,Mach1,FB,100,0.9,10,160,1.60E+03,,
5,3,Mach1,FB,100,0.1,10,3,3.00E+01,,
5,3,Mach1,FB,100,0.9,10,89,8.90E+02,,
5,3,Mach1,FB,100,0.1,10,29,2.90E+02,,
5,3,Mach1,FB,10,0.9,1,7,7.00E+02,,
5,3,Mach1,FB,10,0.1,1,0,0.00E+00,,
5,3,Mach1,FB,10,0.9,1,156,1.56E+04,,
5,3,Mach1,FB,10,0.1,1,36,3.60E+03,,
5,3,Mach1,FB,0,0.9,0,0,0.00E+00,,
5,3,Mach1,FB,0,0.1,0,0,0.00E+00,,
6,1,,FB,100,0.9,15,380,3.80E+03,none are paired plates,
6,1,,FB,100,0.1,15,43,4.30E+02,,
6,1,,FB,100,0.9,15,27,2.70E+02,,
6,1,,FB,100,0.1,15,0,0.00E+00,exclude,
6,1,,FB,10,0.9,1.5,9,9.00E+02,,
6,1,,FB,10,0.1,1.5,92,9.20E+03,,
6,1,,FB,10,0.9,1.5,0,0.00E+00,exclude,
6,1,,FB,10,0.1,1.5,0,0.00E+00,exclude,
6,1,,FB,0,0.9,0,0,0.00E+00,,
6,1,,FB,0,0.1,0,0,0.00E+00,,
6,2,,FB,100,0.9,15,836,8.36E+03,,
6,2,,FB,100,0.1,15,3,3.00E+01,,
6,2,,FB,100,0.9,15,249,2.49E+03,,
6,2,,FB,100,0.1,15,36,3.60E+02,,
6,2,,FB,10,0.9,1.5,0,0.00E+00,exclude,
6,2,,FB,10,0.1,1.5,0,0.00E+00,exclude,
6,2,,FB,10,0.9,1.5,73,7.30E+03,,
6,2,,FB,10,0.1,1.5,3,3.00E+02,,
6,2,,FB,0,0.9,0,0,0.00E+00,,
6,2,,FB,0,0.1,0,0,0.00E+00,,
6,3,,FB,100,0.9,15,992,9.92E+03,,
6,3,,FB,100,0.1,15,87,8.70E+02,,
6,3,,FB,100,0.9,15,536,5.36E+03,,
6,3,,FB,100,0.1,15,45,4.50E+02,,
6,3,,FB,10,0.9,1.5,586,5.86E+04,,
6,3,,FB,10,0.1,1.5,16,1.60E+03,,
6,3,,FB,10,0.9,1.5,-,-,MIA,
6,3,,FB,10,0.1,1.5,-,-,MIA,
6,3,,FB,0,0.9,0,0,0.00E+00,,
6,3,,FB,0,0.1,0,0,0.00E+00,,
7,1,,,100,0.9,,148,,,
7,1,,,100,0.1,,41,,,
7,1,,,100,0.9,,232,,,
7,1,,,100,0.1,,,,,
7,1,,,10,0.9,,38,,,
7,1,,,10,0.1,,134,,,
7,1,,,10,0.9,,98,,,
7,1,,,10,0.1,,1000+,,,
7,1,,,0,0.9,,85,,,
7,1,,,0,0.1,,0,,,
7,2,,,100,0.9,,0,,,
7,2,,,100,0.1,,158,,,
7,2,,,100,0.9,,10,,,
7,2,,,100,0.1,,472,,,
7,2,,,10,0.9,,77,,,
7,2,,,10,0.1,,0,,,
7,2,,,10,0.9,,87,,,
7,2,,,10,0.1,,0,,,
7,2,,,0,0.9,,0,,,
7,2,,,0,0.1,,0,,,
7,3,,,100,0.9,,0,,,
7,3,,,100,0.1,,94,,,
7,3,,,100,0.9,,68,,,
7,3,,,100,0.1,,0,,,
7,3,,,10,0.9,,42,,,
7,3,,,10,0.1,,132,,,
7,3,,,10,0.9,,54,,,
7,3,,,10,0.1,,436,,,
7,3,,,0,0.9,,148,,,
7,3,,,0,0.1,,,,,
8,1,Mach1,FB,100,0.9,,400,4.00E+03,*All transformant counts for 100 ng/0.9X are estimated,
8,1,Mach1,FB,100,0.1,,62,6.20E+02,"**0.9X and 0.1X values do not match, please use only one of these sets",
8,1,Mach1,FB,100,0.9,,352,3.52E+03,,
8,1,Mach1,FB,100,0.1,,48,4.80E+02,,
8,1,Mach1,FB,10,0.9,,68,6.80E+03,,
8,1,Mach1,FB,10,0.1,,13,1.30E+03,,
8,1,Mach1,FB,10,0.9,,16,1.60E+03,,
8,1,Mach1,FB,10,0.1,,0,0.00E+00,,
8,1,Mach1,FB,0,0.9,,0,0.00E+00,,
8,1,Mach1,FB,0,0.1,,0,0.00E+00,,
8,2,Mach1,FB,100,0.9,,316,3.16E+03,,
8,2,Mach1,FB,100,0.1,,16,1.60E+02,,
8,2,Mach1,FB,100,0.9,,360,3.60E+03,,
8,2,Mach1,FB,100,0.1,,39,3.90E+02,,
8,2,Mach1,FB,10,0.9,,6,6.00E+02,,
8,2,Mach1,FB,10,0.1,,1,1.00E+02,,
8,2,Mach1,FB,10,0.9,,62,6.20E+03,,
8,2,Mach1,FB,10,0.1,,21,2.10E+03,,
8,2,Mach1,FB,0,0.9,,0,0.00E+00,,
8,2,Mach1,FB,0,0.1,,0,0.00E+00,,
8,3,Mach1,FB,100,0.9,,232,2.32E+03,,
8,3,Mach1,FB,100,0.1,,49,4.90E+02,,
8,3,Mach1,FB,100,0.9,,800,8.00E+03,,
8,3,Mach1,FB,100,0.1,,68,6.80E+02,,
8,3,Mach1,FB,10,0.9,,70,7.00E+03,,
8,3,Mach1,FB,10,0.1,,7,7.00E+02,,
8,3,Mach1,FB,10,0.9,,112,1.12E+04,,
8,3,Mach1,FB,10,0.1,,13,1.30E+03,,
8,3,Mach1,FB,0,0.9,,0,,,
8,3,Mach1,FB,0,0.1,,0,,,
9,1,TOP10 F',FB,100,0.9,15,376,4.18E+03,2.18E+04,include
9,1,TOP10 F',FB,100,0.1,15,31,3.10E+03,^average including all data,include
9,1,TOP10 F',FB,100,0.9,15,616,6.84E+03,5.06E+03,include
9,1,TOP10 F',FB,100,0.1,15,58,5.80E+03,^average using 100ng pUC19,include
9,1,TOP10 F',FB,10,0.9,1.5,316,3.51E+04,3.86E+04,include
9,1,TOP10 F',FB,10,0.1,1.5,17,1.70E+04,^average using 10ng pUC19,include
9,1,TOP10 F',FB,10,0.9,1.5,376,4.18E+04,,include
9,1,TOP10 F',FB,10,0.1,1.5,26,2.60E+04,weird data...,include
9,1,TOP10 F',FB,0,0.9,0,0,-,10ng and 100ng values don't match,-
9,1,TOP10 F',FB,0,0.1,0,0,-,,-
9,2,TOP10 F',FB,100,0.9,15,512,5.69E+03,,include
9,2,TOP10 F',FB,100,0.1,15,38,3.80E+03,,include
9,2,TOP10 F',FB,100,0.9,15,528,5.87E+03,,include
9,2,TOP10 F',FB,100,0.1,15,52,5.20E+03,,include
9,2,TOP10 F',FB,10,0.9,1.5,392,4.36E+04,,include
9,2,TOP10 F',FB,10,0.1,1.5,16,1.60E+04,,include
9,2,TOP10 F',FB,10,0.9,1.5,648,7.20E+04,,include
9,2,TOP10 F',FB,10,0.1,1.5,57,5.70E+04,,include
9,2,TOP10 F',FB,0,0.9,0,0,-,,-
9,2,TOP10 F',FB,0,0.1,0,0,-,,-
10,1,TOP10F',FB,100,0.9,270,2814,2.81E+04,,
10,1,TOP10F',FB,100,0.1,30,525,5.25E+03,,
10,1,TOP10F',FB,100,0.9,270,8,8.00E+01,,
10,1,TOP10F',FB,100,0.1,30,0,0.00E+00,,
10,1,TOP10F',FB,10,0.9,270,551,5.51E+04,,
10,1,TOP10F',FB,10,0.1,30,67,6.70E+03,,
10,1,TOP10F',FB,10,0.9,270,2912,2.91E+05,,
10,1,TOP10F',FB,10,0.1,30,83,8.30E+03,,
10,1,TOP10F',FB,0,0.9,0,0,0.00E+00,,
10,1,TOP10F',FB,0,0.1,0,0,0.00E+00,,
10,2,TOP10F',FB,100,0.9,270,5472,5.47E+04,,
10,2,TOP10F',FB,100,0.1,30,330,3.30E+03,,
10,2,TOP10F',FB,100,0.9,270,419,4.19E+03,,
10,2,TOP10F',FB,100,0.1,30,3,3.00E+01,,
10,2,TOP10F',FB,10,0.9,270,1168,1.17E+05,,
10,2,TOP10F',FB,10,0.1,30,219,2.19E+04,,
10,2,TOP10F',FB,10,0.9,270,1728,1.73E+05,,
10,2,TOP10F',FB,10,0.1,30,48,4.80E+03,,
10,2,TOP10F',FB,0,0.9,0,0,0.00E+00,,
10,2,TOP10F',FB,0,0.1,0,0,0.00E+00,,
10,3,TOP10F',FB,100,0.9,270,992,9.92E+03,,
10,3,TOP10F',FB,100,0.1,30,264,2.64E+03,,
10,3,TOP10F',FB,100,0.9,270,1056,1.06E+04,,
10,3,TOP10F',FB,100,0.1,30,0,0.00E+00,,
10,3,TOP10F',FB,10,0.9,270,304,3.04E+04,,
10,3,TOP10F',FB,10,0.1,30,53,5.30E+03,,
10,3,TOP10F',FB,10,0.9,270,512,5.12E+04,,
10,3,TOP10F',FB,10,0.1,30,88,8.80E+03,,
10,3,TOP10F',FB,0,0.9,0,0,0.00E+00,,
10,3,TOP10F',FB,0,0.1,0,0,0.00E+00,,
11,1,TOP10F',FB,100,0.9,10,1,1.00E+01,Spreader may not have coolled fully before use. ,Exclude.
11,1,TOP10F',FB,100,0.1,10,0,0.00E+00,,
11,1,TOP10F',FB,100,0.9,10,0,0.00E+00,,
11,1,TOP10F',FB,100,0.1,10,0,0.00E+00,,
11,1,TOP10F',FB,10,0.9,1,0,0.00E+00,,
11,1,TOP10F',FB,10,0.1,1,20,2.00E+03,,
11,1,TOP10F',FB,10,0.9,1,0,0.00E+00,,
11,1,TOP10F',FB,10,0.1,1,0,0.00E+00,,
11,1,TOP10F',FB,0,0.9,0,0,0.00E+00,,
11,1,TOP10F',FB,0,0.1,0,0,0.00E+00,,
11,2,TOP10F',FB,100,0.9,10,1,1.00E+01,we used Soc medium to dilute our DNA.,
11,2,TOP10F',FB,100,0.1,10,1,1.00E+01,some of our tubes were open in the dry ice when we found them ,
11,2,TOP10F',FB,100,0.9,10,1,1.00E+01,reused spreader after dipping it in ethanol and flaming it ,
11,2,TOP10F',FB,100,0.1,10,0,0.00E+00,,
11,2,TOP10F',FB,10,0.9,1,0,0.00E+00,,
11,2,TOP10F',FB,10,0.1,1,0,0.00E+00,,
11,2,TOP10F',FB,10,0.9,1,0,0.00E+00,,
11,2,TOP10F',FB,10,0.1,1,1,1.00E+02,,
11,2,TOP10F',FB,0,0.9,0,0,0.00E+00,,
11,2,TOP10F',FB,0,0.1,0,0,0.00E+00,,
11,3,TOP10F',FB,100,0.9,10,0,0.00E+00,,
11,3,TOP10F',FB,100,0.1,10,0,0.00E+00,,
11,3,TOP10F',FB,100,0.9,10,0,0.00E+00,,
11,3,TOP10F',FB,100,0.1,10,0,0.00E+00,,
11,3,TOP10F',FB,10,0.9,1,20,2.00E+03,,
11,3,TOP10F',FB,10,0.1,1,0,0.00E+00,,
11,3,TOP10F',FB,10,0.9,1,0,0.00E+00,,
11,3,TOP10F',FB,10,0.1,1,0,0.00E+00,,
11,3,TOP10F',FB,0,0.9,0,0,0.00E+00,,
11,3,TOP10F',FB,0,0.1,0,0,0.00E+00,,
12,1,TOP10F',FB,100,0.9,10,1584,1.76E+04,SOC medium was used to dilute DNA,
12,1,TOP10F',FB,100,0.1,10,330,3.30E+04,SOC medium was used to dilute DNA,exclude
12,1,TOP10F',FB,100,0.9,10,283,3.14E+03,SOC medium was used to dilute DNA,
12,1,TOP10F',FB,100,0.1,10,40,4.00E+03,SOC medium was used to dilute DNA,
